"purchase_date","product_category","sales"
2017-02-06,"toys",383.77
2017-02-06,"watches_gifts",251.28
2017-02-07,"auto",2102.92
2017-02-07,"baby",325.08
2017-02-07,"bed_bath_table",714.31
2017-02-07,"computers_accessories",968.03
2017-02-07,"cool_stuff",564.93
2017-02-07,"costruction_tools_garden",624.68
2017-02-07,"electronics",159.96
2017-02-07,"fashion_bags_accessories",425.57
2017-02-07,"fashion_male_clothing",82.19
2017-02-07,"fashion_underwear_beach",66.53
2017-02-07,"food_drink",40.16
2017-02-07,"furniture_decor",1395.51
2017-02-07,"furniture_living_room",384.33
2017-02-07,"garden_tools",424
2017-02-07,"health_beauty",576.84
2017-02-07,"luggage_accessories",197.24
2017-02-07,"market_place",51.99
2017-02-07,"musical_instruments",127.58
2017-02-07,"office_furniture",629.36
2017-02-07,"perfumery",487.76
2017-02-07,"pet_shop",60.65
2017-02-07,"small_appliances",674.87
2017-02-07,"sports_leisure",2064.16
2017-02-07,"stationery",258.76
2017-02-07,"tablets_printing_image",110.3
2017-02-07,"telephony",1333.77
2017-02-07,"toys",427.4
2017-02-07,"watches_gifts",1910.06
2017-02-08,"agro_industry_and_commerce",39.77
2017-02-08,"auto",1409.73
2017-02-08,"baby",257.17
2017-02-08,"bed_bath_table",495.41
2017-02-08,"books_general_interest",258.61
2017-02-08,"computers_accessories",344.81
2017-02-08,"cool_stuff",250.04
2017-02-08,"electronics",54.42
2017-02-08,"fashion_bags_accessories",58.62
2017-02-08,"fixed_telephony",25.1
2017-02-08,"food_drink",181.98
2017-02-08,"furniture_decor",1079.45
2017-02-08,"furniture_living_room",462.63
2017-02-08,"garden_tools",491.68
2017-02-08,"health_beauty",1150.68
2017-02-08,"housewares",582.96
2017-02-08,"luggage_accessories",486.26
2017-02-08,"market_place",46.49
2017-02-08,"office_furniture",1222.49
2017-02-08,"perfumery",690.73
2017-02-08,"pet_shop",111.86
2017-02-08,"small_appliances",508.15
2017-02-08,"sports_leisure",1129.66
2017-02-08,"stationery",593.9
2017-02-08,"telephony",68.24
2017-02-08,"toys",245.43
2017-02-08,"watches_gifts",1347.96
2017-02-09,"auto",1721.93
2017-02-09,"baby",39.46
2017-02-09,"bed_bath_table",1198.83
2017-02-09,"books_general_interest",123.25
2017-02-09,"computers_accessories",385.07
2017-02-09,"cool_stuff",573.53
2017-02-09,"fashion_bags_accessories",227.2
2017-02-09,"fashion_underwear_beach",39.51
2017-02-09,"furniture_decor",991.81
2017-02-09,"garden_tools",273.21
2017-02-09,"health_beauty",571.89
2017-02-09,"home_construction",203.42
2017-02-09,"housewares",445.82
2017-02-09,"office_furniture",1831.02
2017-02-09,"perfumery",739.61
2017-02-09,"pet_shop",141.25
2017-02-09,"small_appliances",382.61
2017-02-09,"sports_leisure",499.01
2017-02-09,"stationery",104.73
2017-02-09,"telephony",245.06
2017-02-09,"toys",127.67
2017-02-10,"air_conditioning",124.97
2017-02-10,"auto",1174.51
2017-02-10,"baby",208.16
2017-02-10,"bed_bath_table",1843.11
2017-02-10,"computers_accessories",4204.36
2017-02-10,"consoles_games",332.7
2017-02-10,"cool_stuff",572.25
2017-02-10,"fashio_female_clothing",134
2017-02-10,"fashion_male_clothing",71.71
2017-02-10,"furniture_decor",460.76
2017-02-10,"garden_tools",1270.42
2017-02-10,"health_beauty",920.11
2017-02-10,"housewares",90.28
2017-02-10,"market_place",95.72
2017-02-10,"office_furniture",1143.06
2017-02-10,"perfumery",396.73
2017-02-10,"pet_shop",75.53
2017-02-10,"small_appliances",39.11
2017-02-10,"sports_leisure",484.82
2017-02-10,"stationery",41.86
2017-02-10,"tablets_printing_image",113.86
2017-02-10,"telephony",328.68
2017-02-10,"toys",524.72
2017-02-10,"watches_gifts",1742.3
2017-02-11,"baby",66.05
2017-02-11,"bed_bath_table",149.78
2017-02-11,"computers_accessories",152.99
2017-02-11,"fashion_bags_accessories",64.42
2017-02-11,"fashion_underwear_beach",350.72
2017-02-11,"furniture_decor",997.68
2017-02-11,"health_beauty",256.12
2017-02-11,"housewares",650.3
2017-02-11,"market_place",50.7
2017-02-11,"office_furniture",1095.07
2017-02-11,"perfumery",24.42
2017-02-11,"pet_shop",73.13
2017-02-11,"small_appliances",214.53
2017-02-11,"sports_leisure",588.21
2017-02-11,"stationery",111.01
2017-02-11,"telephony",322.02
2017-02-11,"toys",323.22
2017-02-12,"agro_industry_and_commerce",113.87
2017-02-12,"auto",20.95
2017-02-12,"baby",280.14
2017-02-12,"bed_bath_table",768.34
2017-02-12,"computers_accessories",159.19
2017-02-12,"consoles_games",60.52
2017-02-12,"construction_tools_construction",171.03
2017-02-12,"cool_stuff",467.07
2017-02-12,"electronics",164.96
2017-02-12,"fashion_bags_accessories",322.52
2017-02-12,"fashion_shoes",45.97
2017-02-12,"fixed_telephony",45.95
2017-02-12,"furniture_decor",406.64
2017-02-12,"garden_tools",537.88
2017-02-12,"health_beauty",747.94
2017-02-12,"home_appliances",174.28
2017-02-12,"housewares",7062.05
2017-02-12,"luggage_accessories",145.18
2017-02-12,"musical_instruments",293.2
2017-02-12,"office_furniture",176.39
2017-02-12,"perfumery",693.84
2017-02-12,"pet_shop",239.34
2017-02-12,"small_appliances",585.27
2017-02-12,"sports_leisure",177.17
2017-02-12,"stationery",241.06
2017-02-12,"telephony",83.61
2017-02-12,"toys",2038.37
2017-02-13,"agro_industry_and_commerce",38.04
2017-02-13,"auto",1149.84
2017-02-13,"baby",466.48
2017-02-13,"bed_bath_table",952.86
2017-02-13,"computers_accessories",575.66
2017-02-13,"cool_stuff",254.36
2017-02-13,"fashion_bags_accessories",103.46
2017-02-13,"fashion_shoes",222.8
2017-02-13,"fixed_telephony",54.19
2017-02-13,"furniture_decor",1495.84
2017-02-13,"garden_tools",71.92
2017-02-13,"health_beauty",1244.81
2017-02-13,"home_appliances",129.98
2017-02-13,"housewares",277.66
2017-02-13,"musical_instruments",92.62
2017-02-13,"office_furniture",1628.65
2017-02-13,"perfumery",897.51
2017-02-13,"pet_shop",356.61
2017-02-13,"small_appliances",679.43
2017-02-13,"sports_leisure",1949
2017-02-13,"stationery",49.52
2017-02-13,"telephony",150.2
2017-02-13,"toys",623.39
